Exception 
         479298 function calls (455231 primitive calls) in 1.364 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.092    0.031 sync.py:188(connect_tcp)
      582    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       44    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
       45    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
       24    0.000    0.000    0.000    0.000 _trace.py:12(__init__)
      740    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       14    0.000    0.000    0.000    0.000 _models.py:144(__init__)
      502    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      822    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       71    0.000    0.000    0.001    0.000 parser.py:379(parse_endtag)
      124    0.000    0.000    0.000    0.000 __init__.py:870(object_was_parsed)
    70/40    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
  156/100    0.000    0.000    0.050    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      736    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      321    0.000    0.000    0.000    0.000 _markupbase.py:44(updatepos)
  225/156    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      465    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       13    0.000    0.000    0.000    0.000 _urlparse.py:497(quote)
      208    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
       69    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
  181/178    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      184    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      491    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       34    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
        1    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       30    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
      195    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        9    0.000    0.000    0.000    0.000 _models.py:53(enforce_headers)
      410    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      106    0.000    0.000    0.000    0.000 _util.py:84(validate)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      122    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
     22/8    0.000    0.000    0.000    0.000 inspect.py:2470(_signature_from_callable)
        6    0.000    0.000    0.001    0.000 connection_pool.py:270(_assign_requests_to_connections)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        3    0.000    0.000    1.168    0.389 connection.py:69(handle_request)
      300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       86    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        3    0.000    0.000    1.169    0.390 connection_pool.py:199(handle_request)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       91    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
        6    0.000    0.000    0.001    0.000 request.py:315(__init__)
      896    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1063    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.048    0.048 _client.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _utils.py:8(is_socket_readable)
       10    0.000    0.000    0.001    0.000 _connection.py:438(next_event)
      198    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
