Exception 
         477663 function calls (453212 primitive calls) in 6.674 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
        5    0.000    0.000    0.001    0.000 response.py:889(_raw_read)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       50    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        6    0.000    0.000    0.000    0.000 ssl.py:670(verify_mode)
        1    0.000    0.000    0.009    0.009 __init__.py:211(__init__)
       43    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    1.329    1.329 api.py:14(request)
      532    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 cookies.py:455(create_cookie)
        6    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      261    0.000    0.000    0.060    0.000 __init__.py:226(compile)
       83    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
       24    0.000    0.000    0.001    0.000 cookiejar.py:726(is_third_party)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      327    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      384    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        3    0.000    0.000    0.355    0.118 client.py:1384(getresponse)
       10    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
       37    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      199    0.000    0.000    0.000    0.000 css_types.py:360(__init__)
        3    0.000    0.000    0.002    0.001 parser.py:41(parse)
       77    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.005    0.005 sessions.py:457(prepare_request)
