Exception 
         477470 function calls (453051 primitive calls) in 1.409 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       22    0.000    0.000    0.000    0.000 message.py:529(get_all)
       24    0.000    0.000    0.000    0.000 message.py:494(get)
       11    0.000    0.000    0.001    0.000 cookiejar.py:1680(extract_cookies)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
       62    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       11    0.000    0.000    0.001    0.000 cookies.py:124(extract_cookies_to_jar)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        3    0.000    0.000    0.418    0.139 client.py:1384(getresponse)
       23    0.000    0.000    0.000    0.000 parse.py:931(quote_from_bytes)
       31    0.000    0.000    0.000    0.000 cookies.py:349(set_cookie)
      176    0.000    0.000    0.003    0.000 _parser.py:98(closegroup)
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      538    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.015    0.008 connection.py:1(<module>)
      752    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
    44/32    0.000    0.000    0.005    0.000 css_parser.py:579(parse_pseudo_class)
        2    0.000    0.000    0.001    0.000 cookies.py:1(<module>)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       78    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      216    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      223    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       85    0.000    0.000    0.000    0.000 __init__.py:1056(handle_endtag)
        3    0.000    0.000    0.000    0.000 ssl.py:1173(send)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       40    0.000    0.000    0.417    0.010 {method 'readline' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
